SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,SCENARIO
9,DC:A6:32:55:FC:D8,2020-07-13 20:46:52.061022,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-53,0.25,both_hand_list
10,DC:A6:32:55:FC:D8,2020-07-13 20:46:53.223433,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-50,0.25,both_hand_list
11,DC:A6:32:55:FC:D8,2020-07-13 20:46:54.505647,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-50,0.25,both_hand_list
12,DC:A6:32:55:FC:D8,2020-07-13 20:46:55.286206,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-53,0.25,both_hand_list
13,DC:A6:32:55:FC:D8,2020-07-13 20:46:56.175523,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-52,0.25,both_hand_list
14,DC:A6:32:55:FC:D8,2020-07-13 20:46:58.180417,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-51,0.25,both_hand_list
15,DC:A6:32:55:FC:D8,2020-07-13 20:46:59.512675,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-51,0.25,both_hand_list
16,DC:A6:32:55:FC:D8,2020-07-13 20:47:00.005046,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-51,0.25,both_hand_list
17,DC:A6:32:55:FC:D8,2020-07-13 20:47:02.010004,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-51,0.25,both_hand_list
18,DC:A6:32:55:FC:D8,2020-07-13 20:47:03.582295,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-50,0.25,both_hand_list
19,DC:A6:32:55:FC:D8,2020-07-13 20:47:04.322068,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-53,0.25,both_hand_list
20,DC:A6:32:55:FC:D8,2020-07-13 20:47:05.799480,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-52,0.25,both_hand_list
21,DC:A6:32:55:FC:D8,2020-07-13 20:47:06.080570,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-50,0.25,both_hand_list
22,DC:A6:32:55:FC:D8,2020-07-13 20:47:08.085590,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-53,0.25,both_hand_list
23,DC:A6:32:55:FC:D8,2020-07-13 20:47:10.091571,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-52,0.25,both_hand_list
24,DC:A6:32:55:FC:D8,2020-07-13 20:47:11.153910,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-52,0.25,both_hand_list
25,DC:A6:32:55:FC:D8,2020-07-13 20:47:13.158847,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-51,0.25,both_hand_list
26,DC:A6:32:55:FC:D8,2020-07-13 20:47:14.325451,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-52,0.25,both_hand_list
27,DC:A6:32:55:FC:D8,2020-07-13 20:47:15.712208,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-52,0.25,both_hand_list
28,DC:A6:32:55:FC:D8,2020-07-13 20:47:16.065833,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-52,0.25,both_hand_list
